Node,p = 0.2,p = 0.5,p = 0.8
ENSG00000275911,2.0514194923832106e-07,4.310461079513281e-06,2.8092704889207992e-05
ENSG00000182541,2.0173889777713085e-08,9.797109546557403e-07,1.357242827423859e-05
ENSG00000119514,1.0215272817015585e-06,1.7510679250900376e-05,7.61469162203313e-05
ENSG00000196821,1.8249593009835198e-08,1.110700366829456e-06,1.4769895572448178e-05
ENSG00000174233,2.6652777275370485e-07,5.307021994477692e-06,3.1140442110133195e-05
ENSG00000181220,2.4740915934977864e-07,4.446621811125867e-06,2.6211157992496006e-05
ENSG00000165973,1.0251587793713648e-09,3.0298304069858846e-07,9.636434619039787e-06
ENSG00000198121,5.636573309754812e-07,9.865203851830344e-06,4.355177092501935e-05
ENSG00000110092,8.417633205664416e-08,2.139695103811413e-06,1.844917031081056e-05
ENSG00000123091,3.301746010011681e-08,1.6823323785303166e-06,1.7851068941071218e-05
ENSG00000105821,7.787349963449075e-08,2.249478371116631e-06,1.9104902195758533e-05
ENSG00000101425,1.2751328306160729e-08,9.463863276326277e-07,1.4348406875573957e-05
ENSG00000100473,1.0028166931182583e-06,1.3513095016218076e-05,4.917239157479289e-05
ENSG00000008083,1.5017225984568152e-07,3.228244983382091e-06,2.2249807533070262e-05
ENSG00000144468,1.6629190991705646e-08,7.288564856962378e-07,1.012311805150748e-05
ENSG00000232629,5.616713604598536e-08,1.6325851530891863e-06,1.598370139188977e-05
ENSG00000171067,2.1654761834339184e-06,3.3364504150807846e-05,0.0001249582092928053
ENSG00000158526,2.5706524751482023e-08,1.525186108510178e-06,1.790449672518858e-05
ENSG00000166881,3.4798295286736445e-08,1.3925041847852628e-06,1.5918993759956732e-05
ENSG00000112062,1.714604033554262e-08,1.3002575690842177e-06,1.7534407225532387e-05
ENSG00000188687,1.8237157580626817e-07,3.142528678332717e-06,1.8991131643385268e-05
ENSG00000110104,2.9762240455476498e-05,0.0003979380214683365,0.0011730590568468382
ENSG00000140505,3.4681120128552707e-09,4.64935539677645e-07,8.90130401605245e-06
ENSG00000283802,5.3346861177633284e-08,4.01239479001265e-06,5.023390036439954e-05
ENSG00000133315,2.519884313183773e-08,1.4308921958965273e-06,1.7154514310263474e-05
ENSG00000160097,2.142919628509564e-09,4.796008482525788e-07,1.174717156154551e-05
ENSG00000159166,2.9416733179058635e-07,5.364075780852153e-06,2.9131774995789165e-05
ENSG00000170915,2.4568200824910322e-08,1.4983042063615568e-06,1.792109486184829e-05
ENSG00000155792,4.0362851968652883e-07,6.824358335259525e-06,3.490916488310995e-05
ENSG00000114107,7.697102454754624e-09,8.841464634065524e-07,1.4548005588757347e-05
ENSG00000077092,2.664379483276623e-08,1.42667683245614e-06,1.6697581740295685e-05
ENSG00000100319,1.1836767251892491e-08,8.83623304159866e-07,1.342773791001503e-05
ENSG00000144228,5.390340228145207e-08,2.6219011641779348e-06,2.4673613791638716e-05
ENSG00000114315,7.061209831889442e-09,6.614753348230096e-07,1.213810714346171e-05
ENSG00000100842,1.052139271780588e-06,1.637637438760568e-05,6.504049512534898e-05
ENSG00000152767,2.365603852359905e-08,1.3317727474189734e-06,1.6246999323480093e-05
ENSG00000118194,2.058015601737065e-08,1.2596636007331052e-06,1.558022145406967e-05
ENSG00000164048,8.116195772083641e-09,8.221184943861802e-07,1.395237294570053e-05
ENSG00000139144,1.5885881477557387e-08,9.690378589912666e-07,1.3922982059294156e-05
ENSG00000197594,2.0376055377033553e-08,1.2719228366419124e-06,1.6245660337465722e-05
ENSG00000106483,3.5699330286833094e-06,2.4754226643194084e-05,6.915042417950944e-05
ENSG00000132334,1.8662226173281525e-08,1.1554103677257323e-06,1.513075119419973e-05
ENSG00000103657,1.864960181598798e-08,8.646005452605447e-07,1.2504347074106874e-05
ENSG00000099795,1.8533126026830659e-06,1.434206046421422e-05,4.8611703183801076e-05
ENSG00000083312,8.370200102494387e-08,2.009954439639736e-06,1.702183883541362e-05
ENSG00000077800,1.0583725296204178e-09,2.391521514918448e-07,7.5772827070516185e-06
ENSG00000108691,8.969251380070452e-08,2.234800486190316e-06,1.8441965071264722e-05
ENSG00000075856,1.5662243166747304e-09,3.369310296468517e-07,9.228065270787983e-06
ENSG00000278741,8.623174640374871e-09,7.891475936390632e-07,1.3480357180186945e-05
ENSG00000074370,7.905708186067782e-08,3.3924022401712336e-06,2.769759923897246e-05
ENSG00000006740,2.0195979776030357e-07,4.410074155313881e-06,2.764231837430894e-05
ENSG00000181092,2.7767034385548444e-08,1.6137393928387378e-06,1.8687819907832447e-05
